Uniprot_A	Uniprot_B	Alt_A	Alt_B	Gene_A	Gene_B	pmid:method:quality
B4DWZ4	P12004		5111	B4DWZ4	PCNA	7673186:0018:LC|9545252:0018:LC|1477073:0018:LC|9305916:0018:LC|14657243:0018:LC|9305916:0492:LC|14657243:0492:LC|11430825:0493:LC|11430825:0018:LC|1477073:0492:LC|14657243:0493:LC|9305916:0493:LC|1477073:0493:LC|11430825:0492:LC|9545252:0493:LC|7673186:0493:LC|8876181:0492:LC|8876181:0018:LC|26688547:0114:LC|9545252:0492:LC|7673186:0492:LC|8876181:0493:LC
B4DXH2	P40616		400	B4DXH2	ARL1	11792819:0004:LC|11792819:0018:LC|12972563:0018:LC
B4DXH2	P62330		382	B4DXH2	ARF6	9312003:0096:LC|11478794:0018:LC|9312003:0018:LC|11478794:0096:LC
B4DXH2	P63000		5879	B4DXH2	RAC1	11346801:0114:LC|8670882:0096:LC|11478794:0018:LC|8670882:0018:LC|11346801:0096:LC
B4DY66	Q9UBT2		10054	B4DY66	UBA2	10217437:0415:LC|16189514:0018:HT
B4E0X6	O14818		5688	B4E0X6	PSMA7	15225636:0018:LC|14733938:0492:LC|15225636:0492:LC|14733938:0018:LC
B4E1C1	P10275		367	B4E1C1	AR	15350595:0492:LC|15350595:0493:LC|15572661:0492:LC|15572661:0493:LC|15572661:0018:LC|15350595:0018:LC
B4E1C1	P23760		5077	B4E1C1	PAX3	11244500:0493:LC|10393185:0493:LC
B4E1C1	P25445		355	B4E1C1	FAS	11483955:0493:LC|11483955:0492:LC|11193028:0492:LC|11193028:0493:LC|11193028:0018:LC|11483955:0018:LC|9215629:0018:LC|9215629:0492:LC|9215629:0493:LC
B4E1C1	P29590		5371	B4E1C1	PML	10669754:0493:LC|15350595:0492:LC|15350595:0493:LC|10525530:0492:LC|10669754:0018:LC|10525530:0018:LC|10669754:0492:LC|15350595:0018:LC|10525530:0493:LC|10684855:0492:LC|12595526:0492:LC|10684855:0493:LC|12595526:0018:LC|12595526:0493:LC|10684855:0018:LC
B4E1C1	P63165		7341	B4E1C1	SUMO1	11112409:0492:LC|12150977:0018:LC|11112409:0493:LC|11112409:0018:LC|12150977:0493:LC|11948183:0018:LC|12150977:0492:LC|11948183:0492:LC|11948183:0493:LC
B4E1C1	P63279		7329	B4E1C1	UBE2I	11112409:0492:LC|12150977:0018:LC|11112409:0493:LC|11112409:0018:LC|12150977:0493:LC|12150977:0492:LC
